pe_vol,pe_ltp,ce_iv,pe_chg,ce_strength,pe_strength,ce_oi,strike,ce_chg,pe_oi,symbol,ce_ltp,pe_iv,ce_vol
1011136,14.25,11.24,4145,25830,1090748,5082,25950,-272,75467,NIFTY,312.75,8.84,21020
2613352,19.25,10.73,21855,355909,2861919,47690,26000,-5899,226712,NIFTY,268.8,8.51,314118
1363285,25.75,10.1,2671,144539,1432878,10072,26050,-1625,66922,NIFTY,225.25,8.16,136092
3055902,34.8,9.65,35687,973989,3238747,43283,26100,-7489,147158,NIFTY,185.25,7.83,938195
2805883,47.1,9.25,21605,1189065,2904683,24581,26150,1031,77195,NIFTY,148.25,7.52,1163453
6933627,63.85,8.79,46353,5012670,7125967,108640,26200,14084,145987,NIFTY,113.85,7.27,4889946
4675231,84.2,8.5,17591,5240010,4745259,91883,26250,24408,52437,NIFTY,85.1,6.92,5123719
3572305,110.0,8.27,3366,5967917,3623779,162987,26300,38763,48108,NIFTY,61.3,6.57,5766167
832120,141.25,8.11,826,2615938,843347,72602,26350,20013,10401,NIFTY,42.6,6.18,2523323
871132,177.0,7.97,-1413,3235588,883332,150407,26400,53042,13613,NIFTY,28.35,5.56,3032139
170841,219.0,7.97,-454,1876601,173328,62970,26450,11528,2941,NIFTY,18.8,4.8,1802103
12601,422.5,8.88,-609,3143,17256,1536,59300,-60,5264,BANKNIFTY,1207.0,11.57,1667
16714,453.65,8.89,46,6172,22550,2853,59400,-1,5790,BANKNIFTY,1137.0,11.54,3320
75745,489.4,8.96,1644,48606,99403,13605,59500,19,22014,BANKNIFTY,1073.0,11.55,34982
46972,522.7,9.08,66,27737,52081,2529,59600,200,5043,BANKNIFTY,1014.4,11.49,25008
85468,558.3,9.01,-269,75099,91750,5653,59700,1613,6551,BANKNIFTY,946.0,11.45,67833
80165,600.05,9.04,1356,72883,88507,6295,59800,902,6986,BANKNIFTY,886.95,11.47,65686
34884,644.15,9.08,320,37461,37819,4619,59900,295,2615,BANKNIFTY,831.0,11.49,32547
79747,686.0,9.08,1479,139013,101468,30994,60000,3196,20242,BANKNIFTY,774.2,11.46,104823
