iv,ltp,oi,option_type,timestamp,signal,pcr_oi,strike,coi,symbol,volume,pcr_volume,score,distance_from_atm,atm,oi_ratio
16.36,23.9,2115,PE,2025-11-28 13:04:55,SELL,0.71,1570,280,RELIANCE,5323,0.59,68.82,0,1570,0.59
23.15,34.6,1994,PE,2025-11-28 13:04:57,SELL,0.8,1560,33,INFY,2260,0.65,63.9,0,1560,0.7
16.01,14.85,2277,PE,2025-11-28 13:04:58,STRONG SELL,0.67,1010,108,HDFCBANK,3969,0.65,67.21,0,1010,0.64
15.29,15.95,2866,PE,2025-11-28 13:04:59,SELL,0.82,1380,-69,ICICIBANK,2085,0.48,55.18,1,1390,0.69
16.54,29.8,2698,PE,2025-11-28 13:05:02,SELL,0.68,2100,-83,BHARTIARTL,2920,0.66,65.72,0,2100,0.75
12.68,3.95,749,PE,2025-11-28 13:05:03,SELL,0.69,402,114,ITC,561,0.56,54.33,1,405,0.73
10.37,20.0,2043,PE,2025-11-28 13:05:07,STRONG SELL,0.66,2460,483,HINDUNILVR,2537,0.38,67.63,0,2460,0.69
27.7,62.1,221,PE,2025-11-28 13:05:10,SELL,0.71,2307,138,ADANIENT,702,0.33,52.0,1,2320,0.63
16.83,26.45,162,PE,2025-11-28 13:05:12,SELL,0.83,1820,70,SUNPHARMA,528,0.46,63.32,0,1820,0.53
21.41,4.43,395,PE,2025-11-28 13:05:13,SELL,0.73,247,41,WIPRO,228,0.35,52.07,1,250,0.56
